frame,time_sec,normal_count_conf035,lowconf_hint_count_conf010,expected_count,raw_image,start_label,normal_review_overlay,lowconf_hint_overlay,action
0,0.0,18,23,23,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\images_raw\backcam_crowded_f000000_c18_expected23.jpg,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\labels_start\backcam_crowded_f000000_c18_expected23.txt,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\review_overlay\backcam_crowded_f000000_c18_expected23.jpg,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\review_overlay_lowconf_hints\backcam_crowded_f000000_c18_expected23.jpg,"Correct label: add every missing real person; remove false positives; final count should match visible real people, usually 23 for this scene."
75,3.0,18,26,23,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\images_raw\backcam_crowded_f000075_c18_expected23.jpg,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\labels_start\backcam_crowded_f000075_c18_expected23.txt,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\review_overlay\backcam_crowded_f000075_c18_expected23.jpg,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\review_overlay_lowconf_hints\backcam_crowded_f000075_c18_expected23.jpg,"Correct label: add every missing real person; remove false positives; final count should match visible real people, usually 23 for this scene."
150,6.0,20,25,23,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\images_raw\backcam_crowded_f000150_c20_expected23.jpg,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\labels_start\backcam_crowded_f000150_c20_expected23.txt,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\review_overlay\backcam_crowded_f000150_c20_expected23.jpg,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\review_overlay_lowconf_hints\backcam_crowded_f000150_c20_expected23.jpg,"Correct label: add every missing real person; remove false positives; final count should match visible real people, usually 23 for this scene."
225,9.0,21,24,23,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\images_raw\backcam_crowded_f000225_c21_expected23.jpg,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\labels_start\backcam_crowded_f000225_c21_expected23.txt,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\review_overlay\backcam_crowded_f000225_c21_expected23.jpg,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\review_overlay_lowconf_hints\backcam_crowded_f000225_c21_expected23.jpg,"Correct label: add every missing real person; remove false positives; final count should match visible real people, usually 23 for this scene."
300,12.0,21,25,23,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\images_raw\backcam_crowded_f000300_c21_expected23.jpg,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\labels_start\backcam_crowded_f000300_c21_expected23.txt,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\review_overlay\backcam_crowded_f000300_c21_expected23.jpg,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\review_overlay_lowconf_hints\backcam_crowded_f000300_c21_expected23.jpg,"Correct label: add every missing real person; remove false positives; final count should match visible real people, usually 23 for this scene."
375,15.0,20,22,23,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\images_raw\backcam_crowded_f000375_c20_expected23.jpg,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\labels_start\backcam_crowded_f000375_c20_expected23.txt,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\review_overlay\backcam_crowded_f000375_c20_expected23.jpg,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\review_overlay_lowconf_hints\backcam_crowded_f000375_c20_expected23.jpg,"Correct label: add every missing real person; remove false positives; final count should match visible real people, usually 23 for this scene."
450,18.0,21,23,23,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\images_raw\backcam_crowded_f000450_c21_expected23.jpg,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\labels_start\backcam_crowded_f000450_c21_expected23.txt,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\review_overlay\backcam_crowded_f000450_c21_expected23.jpg,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\review_overlay_lowconf_hints\backcam_crowded_f000450_c21_expected23.jpg,"Correct label: add every missing real person; remove false positives; final count should match visible real people, usually 23 for this scene."
525,21.0,20,22,23,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\images_raw\backcam_crowded_f000525_c20_expected23.jpg,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\labels_start\backcam_crowded_f000525_c20_expected23.txt,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\review_overlay\backcam_crowded_f000525_c20_expected23.jpg,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\review_overlay_lowconf_hints\backcam_crowded_f000525_c20_expected23.jpg,"Correct label: add every missing real person; remove false positives; final count should match visible real people, usually 23 for this scene."
600,24.0,20,23,23,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\images_raw\backcam_crowded_f000600_c20_expected23.jpg,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\labels_start\backcam_crowded_f000600_c20_expected23.txt,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\review_overlay\backcam_crowded_f000600_c20_expected23.jpg,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\review_overlay_lowconf_hints\backcam_crowded_f000600_c20_expected23.jpg,"Correct label: add every missing real person; remove false positives; final count should match visible real people, usually 23 for this scene."
675,27.0,21,22,23,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\images_raw\backcam_crowded_f000675_c21_expected23.jpg,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\labels_start\backcam_crowded_f000675_c21_expected23.txt,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\review_overlay\backcam_crowded_f000675_c21_expected23.jpg,C:\Users\prith\Downloads\Lab automation\LabVision-AI\datasets\labos_backcam_people\review_backcam_crowded_23\review_overlay_lowconf_hints\backcam_crowded_f000675_c21_expected23.jpg,"Correct label: add every missing real person; remove false positives; final count should match visible real people, usually 23 for this scene."
