image,label,review_image,status,person_count,min_conf,max_conf
datasets\labos_backcam_people\extracted_frames\back_camera__iot_lab_back_cam_1_crowded__t00000000ms__f000000.jpg,datasets\labos_backcam_people\teacher_labels\back_camera__iot_lab_back_cam_1_crowded__t00000000ms__f000000.txt,datasets\labos_backcam_people\teacher_review\back_camera__iot_lab_back_cam_1_crowded__t00000000ms__f000000.jpg,ok,18,0.4319077730178833,0.8922669291496277
datasets\labos_backcam_people\extracted_frames\back_camera__iot_lab_back_cam_1_crowded__t00001520ms__f000038.jpg,datasets\labos_backcam_people\teacher_labels\back_camera__iot_lab_back_cam_1_crowded__t00001520ms__f000038.txt,datasets\labos_backcam_people\teacher_review\back_camera__iot_lab_back_cam_1_crowded__t00001520ms__f000038.jpg,ok,19,0.39967525005340576,0.8876456022262573
datasets\labos_backcam_people\extracted_frames\back_camera__iot_lab_back_cam_1_crowded__t00003040ms__f000076.jpg,datasets\labos_backcam_people\teacher_labels\back_camera__iot_lab_back_cam_1_crowded__t00003040ms__f000076.txt,datasets\labos_backcam_people\teacher_review\back_camera__iot_lab_back_cam_1_crowded__t00003040ms__f000076.jpg,ok,18,0.41741400957107544,0.8877978920936584
datasets\labos_backcam_people\extracted_frames\back_camera__iot_lab_back_cam_1_crowded__t00004560ms__f000114.jpg,datasets\labos_backcam_people\teacher_labels\back_camera__iot_lab_back_cam_1_crowded__t00004560ms__f000114.txt,datasets\labos_backcam_people\teacher_review\back_camera__iot_lab_back_cam_1_crowded__t00004560ms__f000114.jpg,ok,19,0.4132477045059204,0.8835759162902832
datasets\labos_backcam_people\extracted_frames\back_camera__iot_lab_back_cam_1_crowded__t00006080ms__f000152.jpg,datasets\labos_backcam_people\teacher_labels\back_camera__iot_lab_back_cam_1_crowded__t00006080ms__f000152.txt,datasets\labos_backcam_people\teacher_review\back_camera__iot_lab_back_cam_1_crowded__t00006080ms__f000152.jpg,ok,20,0.3816160261631012,0.8888500928878784
datasets\labos_backcam_people\extracted_frames\back_camera__iot_lab_back_cam_1_crowded__t00007600ms__f000190.jpg,datasets\labos_backcam_people\teacher_labels\back_camera__iot_lab_back_cam_1_crowded__t00007600ms__f000190.txt,datasets\labos_backcam_people\teacher_review\back_camera__iot_lab_back_cam_1_crowded__t00007600ms__f000190.jpg,ok,22,0.3732162415981293,0.8772600293159485
datasets\labos_backcam_people\extracted_frames\back_camera__iot_lab_back_cam_1_crowded__t00009120ms__f000228.jpg,datasets\labos_backcam_people\teacher_labels\back_camera__iot_lab_back_cam_1_crowded__t00009120ms__f000228.txt,datasets\labos_backcam_people\teacher_review\back_camera__iot_lab_back_cam_1_crowded__t00009120ms__f000228.jpg,ok,21,0.47114211320877075,0.8871962428092957
datasets\labos_backcam_people\extracted_frames\back_camera__iot_lab_back_cam_1_crowded__t00010640ms__f000266.jpg,datasets\labos_backcam_people\teacher_labels\back_camera__iot_lab_back_cam_1_crowded__t00010640ms__f000266.txt,datasets\labos_backcam_people\teacher_review\back_camera__iot_lab_back_cam_1_crowded__t00010640ms__f000266.jpg,ok,21,0.3713652491569519,0.9023755192756653
datasets\labos_backcam_people\extracted_frames\back_camera__iot_lab_back_cam_1_crowded__t00012160ms__f000304.jpg,datasets\labos_backcam_people\teacher_labels\back_camera__iot_lab_back_cam_1_crowded__t00012160ms__f000304.txt,datasets\labos_backcam_people\teacher_review\back_camera__iot_lab_back_cam_1_crowded__t00012160ms__f000304.jpg,ok,20,0.4311126172542572,0.8895428776741028
datasets\labos_backcam_people\extracted_frames\back_camera__iot_lab_back_cam_1_crowded__t00013680ms__f000342.jpg,datasets\labos_backcam_people\teacher_labels\back_camera__iot_lab_back_cam_1_crowded__t00013680ms__f000342.txt,datasets\labos_backcam_people\teacher_review\back_camera__iot_lab_back_cam_1_crowded__t00013680ms__f000342.jpg,ok,21,0.4998300075531006,0.8987038731575012
datasets\labos_backcam_people\extracted_frames\back_camera__iot_lab_back_cam_1_crowded__t00015200ms__f000380.jpg,datasets\labos_backcam_people\teacher_labels\back_camera__iot_lab_back_cam_1_crowded__t00015200ms__f000380.txt,datasets\labos_backcam_people\teacher_review\back_camera__iot_lab_back_cam_1_crowded__t00015200ms__f000380.jpg,ok,20,0.6363537907600403,0.8942404985427856
datasets\labos_backcam_people\extracted_frames\back_camera__iot_lab_back_cam_1_crowded__t00016720ms__f000418.jpg,datasets\labos_backcam_people\teacher_labels\back_camera__iot_lab_back_cam_1_crowded__t00016720ms__f000418.txt,datasets\labos_backcam_people\teacher_review\back_camera__iot_lab_back_cam_1_crowded__t00016720ms__f000418.jpg,ok,20,0.675846517086029,0.9031749963760376
datasets\labos_backcam_people\extracted_frames\back_camera__iot_lab_back_cam_1_crowded__t00018240ms__f000456.jpg,datasets\labos_backcam_people\teacher_labels\back_camera__iot_lab_back_cam_1_crowded__t00018240ms__f000456.txt,datasets\labos_backcam_people\teacher_review\back_camera__iot_lab_back_cam_1_crowded__t00018240ms__f000456.jpg,ok,20,0.43655434250831604,0.8997184038162231
datasets\labos_backcam_people\extracted_frames\back_camera__iot_lab_back_cam_1_crowded__t00019760ms__f000494.jpg,datasets\labos_backcam_people\teacher_labels\back_camera__iot_lab_back_cam_1_crowded__t00019760ms__f000494.txt,datasets\labos_backcam_people\teacher_review\back_camera__iot_lab_back_cam_1_crowded__t00019760ms__f000494.jpg,ok,20,0.6555162072181702,0.9133347272872925
datasets\labos_backcam_people\extracted_frames\back_camera__iot_lab_back_cam_1_crowded__t00021280ms__f000532.jpg,datasets\labos_backcam_people\teacher_labels\back_camera__iot_lab_back_cam_1_crowded__t00021280ms__f000532.txt,datasets\labos_backcam_people\teacher_review\back_camera__iot_lab_back_cam_1_crowded__t00021280ms__f000532.jpg,ok,20,0.5916635394096375,0.9063622355461121
datasets\labos_backcam_people\extracted_frames\back_camera__iot_lab_back_cam_1_crowded__t00022800ms__f000570.jpg,datasets\labos_backcam_people\teacher_labels\back_camera__iot_lab_back_cam_1_crowded__t00022800ms__f000570.txt,datasets\labos_backcam_people\teacher_review\back_camera__iot_lab_back_cam_1_crowded__t00022800ms__f000570.jpg,ok,20,0.5964325666427612,0.9056593179702759
datasets\labos_backcam_people\extracted_frames\back_camera__iot_lab_back_cam_1_crowded__t00024320ms__f000608.jpg,datasets\labos_backcam_people\teacher_labels\back_camera__iot_lab_back_cam_1_crowded__t00024320ms__f000608.txt,datasets\labos_backcam_people\teacher_review\back_camera__iot_lab_back_cam_1_crowded__t00024320ms__f000608.jpg,ok,20,0.4669577181339264,0.9071858525276184
datasets\labos_backcam_people\extracted_frames\back_camera__iot_lab_back_cam_1_crowded__t00025840ms__f000646.jpg,datasets\labos_backcam_people\teacher_labels\back_camera__iot_lab_back_cam_1_crowded__t00025840ms__f000646.txt,datasets\labos_backcam_people\teacher_review\back_camera__iot_lab_back_cam_1_crowded__t00025840ms__f000646.jpg,ok,21,0.5899741649627686,0.9090061783790588
datasets\labos_backcam_people\extracted_frames\back_camera__iot_lab_back_cam_1_crowded__t00027360ms__f000684.jpg,datasets\labos_backcam_people\teacher_labels\back_camera__iot_lab_back_cam_1_crowded__t00027360ms__f000684.txt,datasets\labos_backcam_people\teacher_review\back_camera__iot_lab_back_cam_1_crowded__t00027360ms__f000684.jpg,ok,21,0.5919925570487976,0.9073072671890259
datasets\labos_backcam_people\extracted_frames\back_camera__iot_lab_back_cam_1_crowded__t00028880ms__f000722.jpg,datasets\labos_backcam_people\teacher_labels\back_camera__iot_lab_back_cam_1_crowded__t00028880ms__f000722.txt,datasets\labos_backcam_people\teacher_review\back_camera__iot_lab_back_cam_1_crowded__t00028880ms__f000722.jpg,ok,20,0.5084928274154663,0.9107456803321838
datasets\labos_backcam_people\extracted_frames\back_camera__iot_lab_back_cam_1_crowded__t00030400ms__f000760.jpg,datasets\labos_backcam_people\teacher_labels\back_camera__iot_lab_back_cam_1_crowded__t00030400ms__f000760.txt,datasets\labos_backcam_people\teacher_review\back_camera__iot_lab_back_cam_1_crowded__t00030400ms__f000760.jpg,ok,19,0.6019104719161987,0.9115666151046753
datasets\labos_backcam_people\extracted_frames\back_camera__iot_lab_back_cam_1_crowded__t00031920ms__f000798.jpg,datasets\labos_backcam_people\teacher_labels\back_camera__iot_lab_back_cam_1_crowded__t00031920ms__f000798.txt,datasets\labos_backcam_people\teacher_review\back_camera__iot_lab_back_cam_1_crowded__t00031920ms__f000798.jpg,ok,20,0.3975103199481964,0.9108635783195496
datasets\labos_backcam_people\extracted_frames\back_camera__iot_lab_back_cam_1_crowded__t00033440ms__f000836.jpg,datasets\labos_backcam_people\teacher_labels\back_camera__iot_lab_back_cam_1_crowded__t00033440ms__f000836.txt,datasets\labos_backcam_people\teacher_review\back_camera__iot_lab_back_cam_1_crowded__t00033440ms__f000836.jpg,ok,22,0.41187435388565063,0.9063917994499207
datasets\labos_backcam_people\extracted_frames\back_camera__iot_lab_back_cam_1_crowded__t00034960ms__f000874.jpg,datasets\labos_backcam_people\teacher_labels\back_camera__iot_lab_back_cam_1_crowded__t00034960ms__f000874.txt,datasets\labos_backcam_people\teacher_review\back_camera__iot_lab_back_cam_1_crowded__t00034960ms__f000874.jpg,ok,20,0.38794320821762085,0.906158983707428
datasets\labos_backcam_people\extracted_frames\back_camera__iot_lab_back_cam_1_crowded__t00036480ms__f000912.jpg,datasets\labos_backcam_people\teacher_labels\back_camera__iot_lab_back_cam_1_crowded__t00036480ms__f000912.txt,datasets\labos_backcam_people\teacher_review\back_camera__iot_lab_back_cam_1_crowded__t00036480ms__f000912.jpg,ok,20,0.47358375787734985,0.9064842462539673
datasets\labos_backcam_people\extracted_frames\back_camera__iot_lab_back_cam_1_crowded__t00038000ms__f000950.jpg,datasets\labos_backcam_people\teacher_labels\back_camera__iot_lab_back_cam_1_crowded__t00038000ms__f000950.txt,datasets\labos_backcam_people\teacher_review\back_camera__iot_lab_back_cam_1_crowded__t00038000ms__f000950.jpg,ok,22,0.4472370147705078,0.9075989127159119
datasets\labos_backcam_people\extracted_frames\back_camera__iot_lab_back_cam_1_crowded__t00039520ms__f000988.jpg,datasets\labos_backcam_people\teacher_labels\back_camera__iot_lab_back_cam_1_crowded__t00039520ms__f000988.txt,datasets\labos_backcam_people\teacher_review\back_camera__iot_lab_back_cam_1_crowded__t00039520ms__f000988.jpg,ok,22,0.5692816972732544,0.9065290093421936
datasets\labos_backcam_people\extracted_frames\back_camera__iot_lab_back_cam_1_crowded__t00041040ms__f001026.jpg,datasets\labos_backcam_people\teacher_labels\back_camera__iot_lab_back_cam_1_crowded__t00041040ms__f001026.txt,datasets\labos_backcam_people\teacher_review\back_camera__iot_lab_back_cam_1_crowded__t00041040ms__f001026.jpg,ok,22,0.59095698595047,0.9030004739761353
