epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.60892,0.78511,0.48517,0.96959,0.96802,0.89981,0.95095,0.77488,0.79206,0.45402,1.00871,0.00032,0.00032,0.00032
2,4.79346,0.7033,0.41696,0.94888,0.95842,0.90751,0.95536,0.83565,0.59009,0.40719,0.96833,0.00064911,0.00064911,0.00064911
3,6.89972,0.68277,0.40297,0.93705,0.94037,0.92293,0.9609,0.79235,0.72091,0.42768,0.99277,0.000967,0.000967,0.000967
4,8.95531,0.69957,0.39741,0.94969,0.94877,0.92769,0.96351,0.79952,0.68043,0.41699,0.97496,0.00127367,0.00127367,0.00127367
5,10.9747,0.6533,0.38949,0.9236,0.95763,0.92678,0.96646,0.80505,0.6506,0.40456,0.95629,0.00156912,0.00156912,0.00156912
6,12.9402,0.64233,0.39403,0.91933,0.97529,0.91267,0.97267,0.80304,0.65725,0.40601,0.95495,0.001835,0.001835,0.001835
7,14.9272,0.63289,0.39251,0.91226,0.97075,0.89511,0.97159,0.80415,0.65677,0.41587,0.95531,0.001802,0.001802,0.001802
8,17.0035,0.62045,0.3757,0.89405,0.96389,0.89595,0.97102,0.79893,0.67164,0.42757,0.96029,0.001769,0.001769,0.001769
9,19.0561,0.62471,0.3815,0.8973,0.96079,0.90751,0.97283,0.811,0.62615,0.41673,0.94835,0.001736,0.001736,0.001736
10,21.1579,0.61138,0.36933,0.88901,0.96072,0.90559,0.97479,0.82148,0.61264,0.41566,0.94503,0.001703,0.001703,0.001703
11,23.2134,0.58937,0.36126,0.90246,0.95556,0.91138,0.97533,0.79682,0.6568,0.41804,0.96185,0.00167,0.00167,0.00167
12,25.2905,0.58439,0.36141,0.88519,0.96616,0.91329,0.97541,0.80544,0.65138,0.40817,0.96416,0.001637,0.001637,0.001637
13,27.2833,0.56218,0.35271,0.88806,0.95764,0.91522,0.97661,0.81525,0.6314,0.39444,0.95563,0.001604,0.001604,0.001604
14,29.2031,0.59102,0.35731,0.90371,0.92373,0.95183,0.97639,0.81028,0.64431,0.39356,0.96231,0.001571,0.001571,0.001571
15,31.1788,0.57322,0.34954,0.8792,0.92606,0.95954,0.97824,0.81954,0.61715,0.37978,0.95132,0.001538,0.001538,0.001538
16,33.0478,0.54816,0.34774,0.87758,0.93179,0.94757,0.97878,0.81836,0.62609,0.38095,0.95482,0.001505,0.001505,0.001505
17,35.0397,0.55759,0.34623,0.88484,0.93764,0.95183,0.98058,0.81517,0.63093,0.38148,0.96304,0.001472,0.001472,0.001472
